Urgency Tier,Opportunity Name,Type,Award Amount,Days Until Deadline,Deadline,Fund Arrival,Application Status,Link,Notes
🔴 APPLY THIS WEEK,Pat Tillman Foundation Scholarship,Grant/Internship,Up to $10000-$11000/year,0,October 2025,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY,https://pattillmanfoundation.org/apply/,For active-duty veterans and their spouses attending college. NOTE: Check if children of active-duty/veterans qualify (criteria has shifted). If Emilio has served himself or parent is active duty contact foundation directly. October 2026 deadline for 2027-28 AY.
🔴 APPLY THIS WEEK,AIAA Foundation Undergraduate Scholarship,Grant/Internship,$2000-$10000 (multiple awards at different levels),0,January 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY - awards pay Fall 2026,https://www.aiaa.org/get-involved/students-young-professionals/scholarships,American Institute of Aeronautics and Astronautics. Must be AIAA member. Several tiers: freshman sophomore junior senior. Emilio should join AIAA now and apply January 2027 for 2027-28 AY. Strong NASA-aligned profile.
🔴 APPLY THIS WEEK,Lockheed Martin STEM Scholarship (via HSF/SHPE/NSBE),Grant/Internship,$5000-$10000,0,February 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY - awards pay Fall 2026,https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education/lm-scholarships.html,Applied through HSF SHPE or NSBE partner portals. Aerospace/engineering major required. Underrepresented minority students prioritized. Lockheed Martin also offers direct internships that come with housing stipends. Apply via partner orgs in Jan-Feb 2027.
🔴 APPLY THIS WEEK,RTX (Raytheon Technologies) STEM Scholarship,Grant/Internship,$5000-$10000,0,February 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY,https://www.rtx.com/raytheon/who-we-are/our-mission/stem-community-engagement,Raytheon parent company RTX funds scholarships for STEM students. Administered through SHPE NSBE and SHPEtinas. Strong defense/aerospace engineering alignment. Military family background viewed favorably. Pair with RTX internship application.
🔴 APPLY THIS WEEK,Thurgood Marshall College Fund (TMCF) Scholarship,Grant/Internship,$3200-$10000,0,March 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY - awards pay Fall 2026,https://tmcf.org/students/scholarships/,For students at HBCUs and other institutions. STEM priority scholarships available. Also manages corporate partner scholarships (AT&T Walmart etc). Create TMCF profile for all managed scholarships. Black student from military family with STEM focus is very competitive.
🔴 APPLY THIS WEEK,NSBE Foundation Scholarship (National Society of Black Engineers),Grant/Internship,$500-$7500 (varies by award tier),0,March 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY,https://www.nsbe.org/programs/scholarships/,Multiple awards within NSBE Foundation. NSBE membership required. Aerospace/engineering students competitive. Also check NSBE corporate sponsors (Boeing Northrop LM Raytheon run parallel scholarships through NSBE). Great networking vehicle.
🔴 APPLY THIS WEEK,HACU National Internship Program (HNIP),Grant/Internship,$5100-$7100 stipend (10-week federal agency placement),0,February 2026,June-August 2026 (summer session),❌ CLOSED for Summer 2026; apply for Summer 2027,https://www.hacu.net/hacu/HNIP.asp,Places Hispanic students at federal agencies including NASA DOD DOE. Strong aerospace fit. Competitive. Future reference: apply January-February 2027 for Summer 2027. Students working at NASA Langley or Marshall have come through this program.
🔴 APPLY THIS WEEK,Hispanic Scholarship Fund (HSF),Grant/Internship,$500-$5000 (based on need and merit),0,February 2026,August 2026 (paid to student or school),❌ CLOSED for 2026-27 AY - awards disbursed Aug 2026,https://www.hsf.net/scholarships,Largest Hispanic scholarship organization in US. Awards still disburse in August 2026 for those who applied in Feb. Note for next year: deadline is early February. Pell-eligible applicants receive preference. Also check HSF corporate partner scholarships (Google Boeing LM often co-funded).
🔴 APPLY THIS WEEK,UNCF/Koch Scholars Program,Grant/Internship,$5000/year,0,March 2026,August 2026 (fall disbursement),❌ CLOSED for Fall 2026 cycle,https://www.uncf.org/programs/uncf-koch-scholars-program,For Black students in economics or STEM at any accredited school. UNCF manages; Koch Industries funds. Annual program. Awards disburse Fall 2026 to those already selected. Check UNCF portal for other open opportunities.
🔴 APPLY THIS WEEK,Congressional Hispanic Caucus Institute (CHCI) Scholarship,Grant/Internship,$1000-$5000,0,January 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY,https://chci.org/scholarships/,For Latino students demonstrating academic excellence and community leadership. Also offers paid congressional internships ($3000/session). Emilio's profile (military family + STEM + Latino) is very competitive. Apply January 2027.
