Priority_Rank,Tier,Name,Organization,Award_Amount,Deadline,Cycle_Status,Eligibility_Summary,Fit_Score,Special_Materials_Required,Application_Link,Description,Notes_Flags
1,TIER1_URGENT,NSBE Scholarship Program (Multiple Awards),National Society of Black Engineers,"$500–$15,000 (varies by award)",Spring 2026 Cycle Opening Soon – GPA verification open Apr 1–Jul 31 2026,FALL 2026 PRIORITY – APPLY NOW,NSBE member; engineering/STEM major; GPA varies (3.0+ for most); U.S. citizen or permanent resident; undergraduate,VERY HIGH – Black/African American STEM engineer; NASA-bound fits mission,"✏️ Essay required; 📄 Transcripts; 📝 LOR (1–3 for most awards); NSBE membership required",https://nsbe.smapply.io/,"Over $1M awarded annually. Multiple individual corporate-sponsored scholarships available for undergraduate engineers. Emilio qualifies as Black STEM student. GPA verification window open now through July 2026.","⚠️ Must join NSBE and verify GPA ASAP (window closes Jul 31 2026). Spring scholarship cycle expected to open soon – monitor portal"
2,TIER1_URGENT,NSBE Analog Devices Scholarship 2026,National Society of Black Engineers / Analog Devices,"$5,000 (2 awards)",Spring 2026 – check NSBE portal,FALL 2026 PRIORITY,NSBE member; Computer/Electrical Engineering or Technology; Freshman/Sophomore/Junior; 3.0 GPA; U.S. citizen,HIGH – STEM engineering; strong fit if enrolled in EE/CompE-adjacent coursework,"✏️ Essay; 📄 Transcripts; GPA verification",https://nsbe.smapply.io/,"Corporate-sponsored NSBE scholarship for tech-focused engineers. $5,000 award for 2 recipients nationwide.","⚠️ Note: Aerospace Eng may be considered Technology – confirm with NSBE. Emilio qualifies as transfer/incoming freshman at 4-year institution"
3,TIER1_URGENT,Mamon & Cynthia Powers Scholarship 2026,National Society of Black Engineers,"$10,000 (4 awards)",Spring 2026 – check NSBE portal,FALL 2026 PRIORITY,NSBE member; Business / Civil Engineering / Technology; all undergrad levels; 2.0 GPA minimum; U.S. citizen,MEDIUM-HIGH – broad eligibility; 2.0 GPA floor is very accessible; 4 awards increases odds,"✏️ Essay; 📄 Transcripts; GPA verification",https://nsbe.smapply.io/,"One of the most accessible NSBE scholarships with a low GPA floor and broad major eligibility. $10,000 for 4 recipients.","✅ Low GPA barrier. Apply as part of NSBE application bundle"
4,TIER1_URGENT,GMiS Scholars Program (Great Minds in STEM),Great Minds in STEM (GMiS),"$500–$5,000 (merit); $500–$1,000 (need-based)",Spring/Summer 2026 – check portal (opens annually for 2026–2027),FALL 2026 PRIORITY – CHECK PORTAL NOW,Hispanic/underrepresented STEM student; 3.0 GPA (merit) or 2.5 (need-based); STEM major; U.S. citizen/permanent resident/DACA,VERY HIGH – Hispanic + STEM engineer; dual merit/need tracks perfectly fit Emilio's profile,"✏️ Essay (personal statement + career goals); 📄 Transcripts; 📝 LOR; leadership evidence",https://gmis-scholars.org/,"30+ year history supporting Hispanic STEM students. Emilio qualifies for BOTH merit ($500–$5,000) and need-based ($500–$1,000) tracks. Conference networking + professional development included.","⚠️ Check portal for 2026–2027 cycle open date. Awards typically announced at GMiS Conference in fall"
5,TIER1_URGENT,The Gates Scholarship,Bill & Melinda Gates Foundation,"Full cost of attendance (minus other aid) – up to ~$40,000+/year",September 15 2026 (first-time applicants); January 15 for renewals,FALL 2026 PRIORITY – DEADLINE SEP 15 2026,Black/African American + Hispanic; Pell-eligible; 3.3 GPA minimum; U.S. citizen or permanent resident; first-time college freshman... NOTE: confirm transfer student eligibility,VERY HIGH – Pell-eligible + Black + Hispanic is exact target demographic; 3.52 GPA exceeds 3.3 minimum,"✏️ Multiple essays (6–8 short responses); 📝 LOR (2); 📄 Transcripts; FAFSA",https://www.thegatesscholarship.org/scholarship,"One of the largest and most prestigious scholarships in the US. Covers full unmet need. Highly competitive (~300 winners from 40,000+ applicants). Emilio's dual ethnicity + Pell + military background = strong application narrative.","⚠️ CRITICAL: Verify transfer student eligibility – Gates is traditionally for first-time college students. However some sources indicate transfer eligibility. Contact Gates Foundation directly. HIGH VALUE – prioritize verification"
6,TIER1_URGENT,UNCF Scholarships (Multiple Programs),United Negro College Fund,"Varies – $500 to $10,000+ depending on program",Rolling deadlines + specific program dates – check portal,FALL 2026 PRIORITY – CHECK NOW,African American; STEM or any major; enrolled at accredited institution; financial need (most programs); FAFSA required,HIGH – African American + financial need is core UNCF mission; multiple programs available,"✏️ Essay (varies by program); 📄 Transcripts; FAFSA; some require LOR",https://opportunities.uncf.org/s/pre-login-welcome-page,"UNCF awards $62M+ in scholarships annually across 600+ schools. Multiple STEM-specific programs including Fund II Foundation STEM Scholars. Emilio qualifies as Black STEM student with financial need.","✅ Apply to UNCF general portal – you're matched to eligible scholarships. Check April deadlines listed on homepage"
7,TIER1_URGENT,EAA Post-Secondary Aviation Scholarship,Experimental Aircraft Association (EAA),"Varies (multiple awards)",October 1 – December 19 2026,FALL 2026 – APPLY OCT–DEC 2026,Aerospace/aeronautical/aviation STEM field; enrolled or incoming; age 16+; unofficial transcripts required,HIGH – aerospace engineering is a qualifying field; aviation/aerospace mission perfectly aligned,"📄 Transcripts (unofficial OK); 📝 1 character reference (non-relative); no GPA minimum stated but competitive",https://www.eaa.org/eaa/learn-to-fly/scholarships,"Post-secondary scholarships for aviation/aerospace engineering students. Scholarship must be used by March 1 following award year. Funds disbursed directly to institution.","✅ No GPA minimum listed – accessible. Apply Oct–Dec 2026. Good fit for NASA/aerospace career goals"
8,TIER1_URGENT,Hispanic Heritage Foundation STEM Scholarship,Hispanic Heritage Foundation,"Up to $5,000",Typically October 2026 – check website,FALL 2026 PRIORITY – APPLY OCT 2026,Hispanic/Latino; STEM major; strong academic achievement; leadership; U.S. citizen or permanent resident,HIGH – Hispanic + STEM + leadership = strong match,"✏️ Essay; 📄 Transcripts; evidence of leadership/community involvement",https://hispanicheritage.org/programs/scholarships/,"Annual STEM scholarships honoring top Latino students. Emilio's A.S. at 18 + transfer + NASA goals = strong narrative.","⚠️ Check exact deadline – typically October annually"
9,TIER2_SPRING2027,Jack Kent Cooke Undergraduate Transfer Scholarship,Jack Kent Cooke Foundation,"Up to $55,000/year for 2–3 years (last-dollar funding)",November 2026 (for students transferring Fall 2027) – CHECK URGENTLY,⚠️ URGENT CHECK: 2026 cycle likely closed (Nov 2025 deadline). Next cycle: November 2026 for Fall 2027 entry.,Community college transfer student; high academic achievement (avg recipient GPA 3.92); financial need; U.S. citizen or permanent resident; enrolled/completing associate's degree,"VERY HIGH – DESIGNED EXACTLY for community college transfer students with financial need; highest award value on this list","✏️ Multiple essays (personal statement + additional prompts); 📝 LOR (3); 📄 Transcripts; FAFSA; counselor recommendation",https://www.jkcf.org/our-scholarships/undergraduate-transfer-scholarship/,"The single most valuable transfer scholarship in the US. $55K/year covers tuition + living + books. 70% of recipients participated in honors programs. 66% held leadership roles.","⚠️⚠️ CRITICAL FLAG: If Emilio is enrolling Fall 2026 he MISSED the 2026 application (deadline was ~Nov 2025). However: (1) Verify if late/rolling applications exist; (2) If deferred to Fall 2027 this becomes the #1 priority scholarship; (3) Contact JKCF directly about Fall 2026 transfer applicants"
10,TIER2_SPRING2027,National Space Club Keynote Scholarship,National Space Club & Foundation,"$10,000",December–January annually (check for 2026–2027 cycle),SPRING 2027 CYCLE – APPLY DEC 2026,Junior or senior undergrad pursuing space-related career; U.S. citizen; strong academic record; interest in space exploration/science,VERY HIGH – aerospace + space career track is exact match,"✏️ Essay (career goals in space); 📄 Transcripts; 📝 LOR",https://spaceclub.org/,"Established space industry organization scholarship. Ideal for NASA-bound aerospace engineering students. $10K for competitive space career track.","✅ Strong narrative match: NASA internship goals + aerospace engineering = textbook application"
