Scholarship Name,Award Amount,When Funds Arrive,Application Opens,Application Deadline,Application Status,Priority Action,Link,Notes
Jack Kent Cooke Transfer Scholarship,"$55,000",Nov 2026,Oct 2026,Nov 2026,Opens Soon,🟡 Opens Soon - Prep Now,https://apply.jkcf.org/apply/,TOP PRIORITY — transfer + financial need + exceptional GPA
Elks Most Valuable Student Award,"$50,000",Nov 2026,Sep 2026,Nov 2026,Opens Soon,🟡 Opens Soon - Prep Now,https://www.elks.org/scholars/scholarships/MVS.cfm,NEW — one of largest youth scholarships; verify transfer eligibility
College Board Opportunity Scholarships,"$40,000",Feb 2027,Ongoing,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://bigfuture.collegeboard.org/pay-for-college/scholarship-search,Low effort to apply
Phi Kappa Phi Fellowship (post-transfer),"$35,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.phikappaphi.org/awards-grants/love-of-learning-award,Join Phi Kappa Phi in first semester at transfer school (GPA 3.5+ typically qualifies). Then apply f
Dell Scholars Program,"$20,000",Nov 2026,TBD,Nov 2026,Check Status,,https://www.dellscholars.org/students/,$20K + laptop + book credits + emergency funds + coaching. Pell eligible + $55K household = strong f
APIA Scholars Program (formerly APIASF),"$20,000",Jan 2027,TBD,Jan 2027,Check Status,,https://apiascholars.org/scholarship/,For AAPI students. Does not apply to Emilio based on profile (Latino + Black). Include for completen
American Legion Legacy Scholarship,"$20,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.legion.org/get-involved/scholarships/the-american-legion-legacy-scholarship,Needs-based gap scholarship up to $20K. Verify if Emilio's parent has 50%+ VA disability rating — th
American Indian College Fund (Transfer),"$20,000",Feb 2027,TBD,Feb 2027,Check Status,,https://collegefund.org/students/scholarships/,"If Emilio has any Native American heritage beyond Latino+Black, this is a strong option. Verify heri"
NASA Minority University Research and Education Project (MUREP),"$16,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.nasa.gov/learning-opportunities/,MUREP internship stipend + potential scholarship tie-in. Not purely scholarship but NASA-paid resear
AIAA Foundation Undergraduate Scholarship (Full Suite),"$15,000",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://www.aiaa-awards.org/a,NEW — full AIAA suite beyond the basic entry — join AIAA student chapter now
ASME Scholarship (2+2 Transfer Program),"$15,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.asme.org/asme-programs/students-and-faculty/scholarships/4-year-baccalaureate-graduate-students,Explicitly includes 2+2 Transfer Program track. Must join ASME student chapter (~$25 membership). Op
Society of Women Engineers (SWE) Scholarship,"$15,000",Feb 2027,TBD,Feb 2027,Check Status,,https://swe.org/scholarships/,"SWE offers 330+ scholarships annually. If Emilio identifies as a woman or gender minority, this unlo"
Great Minds in STEM (GMiS) Scholarship,"$10,000",Jun 2026,Mar 2026,Jun 2026,Check Status,,https://greatmindsinstem.org/gmis-scholarship-application/gmis-scholarships/,2026-27 cycle opens Mar 2027 — mark calendar
